_id,key,red3_team,red2_team,red1_team,blue3_team,blue2_team,blue1_team,red3_epa,red2_epa,red1_epa,blue3_epa,blue2_epa,blue1_epa,red3_total_points,red2_total_points,red1_total_points,blue3_total_points,blue2_total_points,blue1_total_points,red3_auto_points,red2_auto_points,red1_auto_points,blue3_auto_points,blue2_auto_points,blue1_auto_points,red3_teleop_points,red2_teleop_points,red1_teleop_points,blue3_teleop_points,blue2_teleop_points,blue1_teleop_points,red3_endgame_points,red2_endgame_points,red1_endgame_points,blue3_endgame_points,blue2_endgame_points,blue1_endgame_points,red3_rank,red2_rank,red1_rank,blue3_rank,blue2_rank,blue1_rank,red3_winrate,red2_winrate,red1_winrate,blue3_winrate,blue2_winrate,blue1_winrate,blue_score,red_score
67da17083136e1e6940cbed0,2025mitvc_qm69,7155,7808,7598,7155,7808,7598,1364,1406,1426,1364,1406,1426,6.39,10.66,12.78,6.39,10.66,12.78,3.52,4.6,2.3,3.52,4.6,2.3,1.47,3.85,8.78,1.47,3.85,8.78,1.4,2.21,1.7,1.4,2.21,1.7,3601,3312,3037,3601,3312,3037,0.25,0.1667,0.5263,0.25,0.1667,0.5263,17,80
67da17083136e1e6940cbed1,2025mitvc_qm7,7782,7195,5086,7782,7195,5086,1548,1564,1574,1548,1564,1574,28.1,30.37,31.9,28.1,30.37,31.9,5.42,5.98,6.14,5.42,5.98,6.14,21.46,19.86,18.4,21.46,19.86,18.4,1.22,4.52,7.36,1.22,4.52,7.36,942,787,695,942,787,695,0.6129,0.5333,0.5,0.6129,0.5333,0.5,70,64
67da17083136e1e6940cbed2,2025mitvc_qm70,6091,4398,7855,6091,4398,7855,1469,1643,1372,1469,1643,1372,17.57,42.3,7.16,17.57,42.3,7.16,5.07,6.48,2.28,5.07,6.48,2.28,10.11,34.12,4.68,10.11,34.12,4.68,2.39,1.7,0.2,2.39,1.7,0.2,2317,310,3568,2317,310,3568,0.4375,0.5333,0.25,0.4375,0.5333,0.25,85,90
67da17083136e1e6940cbed3,2025mitvc_qm71,3770,5193,9771,3770,5193,9771,1570,1534,1527,1570,1534,1527,31.26,26.14,25.06,31.26,26.14,25.06,3.28,2.92,5.82,3.28,2.92,5.82,21.96,22.19,18.25,21.96,22.19,18.25,6.02,1.03,0.98,6.02,1.03,0.98,739,1126,1223,739,1126,1223,0.6429,0.5385,0.4667,0.6429,0.5385,0.4667,111,96
67da17083136e1e6940cbed4,2025mitvc_qm72,8611,7195,3688,8611,7195,3688,1503,1564,1589,1503,1564,1589,21.81,30.37,34.1,21.81,30.37,34.1,3.68,5.98,4.59,3.68,5.98,4.59,16.47,19.86,25.67,16.47,19.86,25.67,1.66,4.52,3.84,1.66,4.52,3.84,1591,787,589,1591,787,589,0.4667,0.5333,0.5517,0.4667,0.5333,0.5517,126,106
67da17083136e1e6940cbed5,2025mitvc_qm73,10605,4983,6077,10605,4983,6077,1513,1482,1563,1513,1482,1563,23.21,19.12,30.29,23.21,19.12,30.29,5.3,5.37,2.55,5.3,5.37,2.55,17.03,12.11,21.29,17.03,12.11,21.29,0.87,1.64,6.45,0.87,1.64,6.45,1423,1956,796,1423,1956,796,0.4167,0.4444,0.5526,0.4167,0.4444,0.5526,90,115
67da17083136e1e6940cbed6,2025mitvc_qm74,5504,9736,5247,5504,9736,5247,1413,1384,1483,1413,1384,1483,11.38,8.35,19.35,11.38,8.35,19.35,1.79,2.72,3.98,1.79,2.72,3.98,5.72,3.96,11.85,5.72,3.96,11.85,3.87,1.67,3.52,3.87,1.67,3.52,3230,3510,1925,3230,3510,1925,0.1667,0.3333,0.4167,0.1667,0.3333,0.4167,32,101
67da17083136e1e6940cbed7,2025mitvc_qm75,5560,6091,5086,5560,6091,5086,1468,1469,1574,1468,1469,1574,17.5,17.57,31.9,17.5,17.57,31.9,3.76,5.07,6.14,3.76,5.07,6.14,12.67,10.11,18.4,12.67,10.11,18.4,1.07,2.39,7.36,1.07,2.39,7.36,2334,2317,695,2334,2317,695,0.4423,0.4375,0.5,0.4423,0.4375,0.5,122,97
67da17083136e1e6940cbed8,2025mitvc_qm76,7855,9176,5424,7855,9176,5424,1372,1564,1552,1372,1564,1552,7.16,30.4,28.67,7.16,30.4,28.67,2.28,3.69,4.53,2.28,3.69,4.53,4.68,21.91,20.99,4.68,21.91,20.99,0.2,4.79,3.15,0.2,4.79,3.15,3568,784,904,3568,784,904,0.25,0.3571,0.6,0.25,0.3571,0.6,68,77
67da17083136e1e6940cbed9,2025mitvc_qm77,6077,7195,5110,6077,7195,5110,1563,1564,1596,1563,1564,1596,30.29,30.37,35.12,30.29,30.37,35.12,2.55,5.98,4.59,2.55,5.98,4.59,21.29,19.86,24.94,21.29,19.86,24.94,6.45,4.52,5.59,6.45,4.52,5.59,796,787,539,796,787,539,0.5526,0.5333,0.5909,0.5526,0.5333,0.5909,94,150
