red3_epa,red2_epa,red1_epa,blue3_epa,blue2_epa,blue1_epa,red3_total_points,red2_total_points,red1_total_points,blue3_total_points,blue2_total_points,blue1_total_points,red3_auto_points,red2_auto_points,red1_auto_points,blue3_auto_points,blue2_auto_points,blue1_auto_points,red3_teleop_points,red2_teleop_points,red1_teleop_points,blue3_teleop_points,blue2_teleop_points,blue1_teleop_points,red3_endgame_points,red2_endgame_points,red1_endgame_points,blue3_endgame_points,blue2_endgame_points,blue1_endgame_points,red3_rank,red2_rank,red1_rank,blue3_rank,blue2_rank,blue1_rank,red3_winrate,red2_winrate,red1_winrate,blue3_winrate,blue2_winrate,blue1_winrate,blue_score,red_score
1440,1447,1524,1440,1447,1524,14.27,15.1,24.73,14.27,15.1,24.73,1.82,3.13,5.61,1.82,3.13,5.61,11.08,9.6,16.9,11.08,9.6,16.9,1.37,2.38,2.23,1.37,2.38,2.23,2837,2706,1266,2837,2706,1266,0.4,0.24,0.4815,0.4,0.24,0.4815,29,30
1347,1467,1524,1347,1467,1524,4.66,17.42,24.73,4.66,17.42,24.73,3.08,3.5,5.61,3.08,3.5,5.61,0.16,11.19,16.9,0.16,11.19,16.9,1.43,2.74,2.23,1.43,2.74,2.23,3665,2353,1266,3665,2353,1266,0.1,0.6154,0.4815,0.1,0.6154,0.4815,62,76
1464,1568,1555,1464,1568,1555,16.99,31.07,29.16,16.99,31.07,29.16,3.76,5.63,3.61,3.76,5.63,3.61,11.21,17.97,25.61,11.21,17.97,25.61,2.01,7.47,-0.05,2.01,7.47,-0.05,2423,750,865,2423,750,865,0.52,0.5781,0.4853,0.52,0.5781,0.4853,111,69
1369,1440,1450,1369,1440,1450,6.85,14.27,15.41,6.85,14.27,15.41,2.28,1.82,3.11,2.28,1.82,3.11,3.41,11.08,10.0,3.41,11.08,10.0,1.16,1.37,2.3,1.16,1.37,2.3,3584,2837,2662,3584,2837,2662,0.5455,0.4,0.5455,0.5455,0.4,0.5455,72,76
1610,1447,1399,1610,1447,1399,37.17,15.1,9.9,37.17,15.1,9.9,4.67,3.13,2.45,4.67,3.13,2.45,31.13,9.6,5.65,31.13,9.6,5.65,1.37,2.38,1.8,1.37,2.38,1.8,462,2706,3387,462,2706,3387,0.6613,0.24,0.25,0.6613,0.24,0.25,46,26
1475,1449,1334,1475,1449,1334,18.32,15.34,3.42,18.32,15.34,3.42,2.43,3.3,2.5,2.43,3.3,2.5,13.93,11.08,-0.06,13.93,11.08,-0.06,1.96,0.96,0.98,1.96,0.96,0.98,2084,2669,3685,2084,2669,3685,0.5833,0.4,0.4,0.5833,0.4,0.4,54,45
1505,1471,1480,1505,1471,1480,22.11,17.86,18.89,22.11,17.86,18.89,3.25,3.36,3.44,3.25,3.36,3.44,18.03,13.58,14.17,18.03,13.58,14.17,0.83,0.91,1.28,0.83,0.91,1.28,1561,2273,1990,1561,2273,1990,0.5769,0.3864,0.5417,0.5769,0.3864,0.5417,59,116
1410,1641,1495,1410,1641,1495,11.07,41.98,20.87,11.07,41.98,20.87,1.34,4.5,4.22,1.34,4.5,4.22,7.9,29.73,14.88,7.9,29.73,14.88,1.83,7.74,1.77,1.83,7.74,1.77,3259,321,1714,3259,321,1714,0.35,0.8,0.6429,0.35,0.8,0.6429,105,67
1559,1413,1528,1559,1413,1528,29.72,11.4,25.31,29.72,11.4,25.31,5.62,4.4,3.78,5.62,4.4,3.78,22.6,5.98,20.39,22.6,5.98,20.39,1.51,1.01,1.13,1.51,1.01,1.13,829,3224,1205,829,3224,1205,0.6538,0.5385,0.5577,0.6538,0.5385,0.5577,99,78
1585,1464,1429,1585,1464,1429,33.45,16.99,13.06,33.45,16.99,13.06,6.2,3.76,2.75,6.2,3.76,2.75,23.08,11.21,8.85,23.08,11.21,8.85,4.17,2.01,1.47,4.17,2.01,1.47,620,2423,3007,620,2423,3007,0.5333,0.52,0.35,0.5333,0.52,0.35,81,57
1376,1334,1487,1376,1334,1487,7.54,3.42,19.74,7.54,3.42,19.74,3.22,2.5,3.0,3.22,2.5,3.0,3.38,-0.06,14.98,3.38,-0.06,14.98,0.94,0.98,1.76,0.94,0.98,1.76,3554,3685,1869,3554,3685,1869,0.35,0.4,0.5,0.35,0.4,0.5,13,75
1572,1464,1559,1572,1464,1559,31.53,16.99,29.72,31.53,16.99,29.72,4.13,3.76,5.62,4.13,3.76,5.62,25.89,11.21,22.6,25.89,11.21,22.6,1.52,2.01,1.51,1.52,2.01,1.51,719,2423,829,719,2423,829,0.5556,0.52,0.6538,0.5556,0.52,0.6538,84,55
1347,1384,1449,1347,1384,1449,4.66,8.39,15.34,4.66,8.39,15.34,3.08,0.8,3.3,3.08,0.8,3.3,0.16,7.09,11.08,0.16,7.09,11.08,1.43,0.5,0.96,1.43,0.5,0.96,3665,3506,2669,3665,3506,2669,0.1,0.2,0.4,0.1,0.2,0.4,26,72
1391,1371,1700,1391,1371,1700,9.05,7.03,51.02,9.05,7.03,51.02,2.6,4.81,11.88,2.6,4.81,11.88,5.94,3.41,29.92,5.94,3.41,29.92,0.5,-1.18,9.21,0.5,-1.18,9.21,3452,3573,154,3452,3573,154,0.2,0.3333,0.8387,0.2,0.3333,0.8387,73,74
1369,1524,1399,1369,1524,1399,6.85,24.73,9.9,6.85,24.73,9.9,2.28,5.61,2.45,2.28,5.61,2.45,3.41,16.9,5.65,3.41,16.9,5.65,1.16,2.23,1.8,1.16,2.23,1.8,3584,1266,3387,3584,1266,3387,0.5455,0.4815,0.25,0.5455,0.4815,0.25,33,69
1403,1410,1384,1403,1410,1384,10.38,11.07,8.39,10.38,11.07,8.39,2.04,1.34,0.8,2.04,1.34,0.8,5.73,7.9,7.09,5.73,7.9,7.09,2.61,1.83,0.5,2.61,1.83,0.5,3339,3259,3506,3339,3259,3506,0.35,0.35,0.2,0.35,0.35,0.2,10,105
1580,1487,1525,1580,1487,1525,32.77,19.74,24.83,32.77,19.74,24.83,4.68,3.0,3.92,4.68,3.0,3.92,26.99,14.98,18.06,26.99,14.98,18.06,1.1,1.76,2.85,1.1,1.76,2.85,645,1869,1252,645,1869,1252,0.5,0.5,0.4286,0.5,0.5,0.4286,87,58
1487,1467,1580,1487,1467,1580,19.74,17.42,32.77,19.74,17.42,32.77,3.0,3.5,4.68,3.0,3.5,4.68,14.98,11.19,26.99,14.98,11.19,26.99,1.76,2.74,1.1,1.76,2.74,1.1,1869,2353,645,1869,2353,645,0.5,0.6154,0.5,0.5,0.6154,0.5,146,151
